严重性	代码	说明	项目	文件	行	抑制状态	详细信息
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\Common\ErrorDialogViewModel.cs	16		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\Common\QuestionDialogViewModel.cs	6		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\Common\QuestionDialogViewModel.cs	14		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\Common\QuestionDialogViewModel.cs	14		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\Common\QuestionDialogViewModel.cs	15		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\Common\QuestionDialogViewModel.cs	15		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\Common\WizardStatus.cs	11		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\Common\WizardStatus.cs	102		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ChangesSummaryViewModel.cs	9		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ChangesSummaryViewModel.cs	51		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ChangesSummaryViewModel.cs	52		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ChangesSummaryViewModel.cs	53		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ChangesSummaryViewModel.cs	54		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ChangesSummaryViewModel.cs	55		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ChangesSummaryViewModel.cs	56		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	15		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	81		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	82		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	99		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	101		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	103		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	105		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	148		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	150		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	152		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	154		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	229		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\MainViewModel.cs	244		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ProjectConfigurationViewModel.cs	9		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ProjectConfigurationViewModel.cs	125		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\ProjectConfigurationViewModel.cs	126		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\TemplateSelectionViewModel.cs	12		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewItem\TemplateSelectionViewModel.cs	179		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\MainViewModel.cs	13		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\MainViewModel.cs	80		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\MainViewModel.cs	81		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\MainViewModel.cs	90		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\MainViewModel.cs	93		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\MainViewModel.cs	99		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\MainViewModel.cs	102		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\MainViewModel.cs	275		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	12		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	39		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	40		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	41		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	42		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	278		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	380		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	389		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	399		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	409		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\ViewModels\NewProject\UserSelectionViewModel.cs	419		
错误(活动)	CS0103	当前上下文中不存在名称“InitializeComponent”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\Views\NewProject\FrameworkPage.xaml.cs	18		
错误(活动)	CS0103	当前上下文中不存在名称“InitializeComponent”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\Views\NewProject\ProjectTypePage.xaml.cs	18		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\GenShell\VsGenShellUI.cs	13		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\GenShell\VsGenShellUI.cs	145		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\GenShell\VsGenShellUI.cs	159		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\GenShell\VsGenShellUI.cs	209		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	15		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	74		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	79		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	91		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	96		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	108		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	113		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	125		
错误(活动)	CS0122	“Resources”不可访问，因为它具有一定的保护级别	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\RightClickActions.cs	130		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\VsOutputPane.cs	11		
错误(活动)	CS0103	当前上下文中不存在名称“TemplateStudioProject”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\VsOutputPane.cs	74		
错误(活动)	CS0103	当前上下文中不存在名称“TemplateStudioProject”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.UI\VisualStudio\VsOutputPane.cs	101		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedStyles\AllStylesDictionary.cs	7		
错误(活动)	CS0103	当前上下文中不存在名称“TemplateStudioProject”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedStyles\AllStylesDictionary.cs	20		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedStyles\TemplateStudioStyles.xaml.cs	9		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedStyles\TemplateStudioStyles.xaml.cs	81		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\CodeViewer.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\CompositionToolWindow.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\ErrorDialog.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\InfoDialog.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\NewItemMainPage.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\NewItemWizardShell.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\NewProjectWizardShell.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\NotificationsControl.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\ProjectConfigurationDialog.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\QuestionDialogWindow.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\SequentialFlow.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\TemplateInfoPage.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\TemplateSelectionPage.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\TemplateStudioStyles.g.cs	12		
